_movie_title_,total_gross,genre
Star Wars Ep. VII: The Force Awakens,936662225,Adventure
The Avengers,623279547,Action
Rogue One: A Star Wars Story,529483936,Adventure
Finding Dory,486295561,Adventure
Avengers: Age of Ultron,459005868,Action
Pirates of the Caribbean: Dead Man’…,423315812,Adventure
The Lion King,422780140,Adventure
Toy Story 3,415004880,Adventure
Iron Man 3,408992272,Action
Captain America: Civil War,408084349,Action
Frozen,400738009,Adventure
Finding Nemo,380529370,Adventure
The Jungle Book,364001123,Adventure
Inside Out,356461711,Adventure
Zootopia,341268248,Adventure
Alice in Wonderland,334191110,Adventure
Guardians of the Galaxy,333172112,Adventure
Pirates of the Caribbean: At World’…,309420425,Adventure
Pirates of the Caribbean: The Curse o…,305411224,Adventure
The Sixth Sense,293506292,Thriller/Suspense
Up,293004164,Adventure
"The Chronicles of Narnia: The Lion, t…",291710957,Adventure
"Monsters, Inc.",289423425,Adventure
Monsters University,268488329,Adventure
The Incredibles,261441092,Adventure
Captain America: The Winter Soldier,259746958,Action
Moana,246082029,Adventure
Toy Story 2,245852179,Adventure
Cars,244082982,Comedy
Maleficent,241407328,Adventure
Pirates of the Caribbean: On Stranger…,241063875,Adventure
Brave,237282182,Adventure
Oz the Great and Powerful,234770996,Adventure
Doctor Strange,232532923,Adventure
Signs,227965690,Thriller/Suspense
WALL-E,223808164,Adventure
Big Hero 6,222527828,Adventure
National Treasure 2: Book of Secrets,219961501,Adventure
Beauty and the Beast,218951625,Musical
Aladdin,217350219,Comedy
Ratatouille,206445654,Comedy
Thor: The Dark World,206362140,Adventure
Armageddon,201578182,Adventure
Cinderella,201151353,Drama
Tangled,200821936,Adventure
Pearl Harbor,198539855,Action
Toy Story,191796233,Adventure
Cars 2,191450875,Adventure
Wreck-It Ralph,189412677,Adventure
Snow White and the Seven Dwarfs,184925485,Musical
Lincoln,182207973,Drama
Ant-Man,180202163,Action
Pretty Woman,178406268,Romantic Comedy
National Treasure,173005002,Adventure
Tron: Legacy,172062763,Adventure
Tarzan,171091819,Adventure
The Help,169705587,Drama
Wild Hogs,168213584,Comedy
3 Men and a Baby,167780960,Comedy
The Proposal,163958031,Romantic Comedy
A Bug's Life,162798565,Adventure
The Waterboy,161491646,Comedy
Who Framed Roger Rabbit?,154112492,Comedy
101 Dalmatians,153000000,Comedy
Lilo & Stitch,145771527,Adventure
The Santa Clause,144833357,Comedy
The Jungle Book,141843000,Musical
The Chronicles of Narnia: Prince Caspian,141621490,Adventure
Pocahontas,141579773,Adventure
Sister Act,139605150,Comedy
The Santa Clause 2,139225854,Comedy
Disney's A Christmas Carol,137855863,Drama
Dinosaur,137748063,Adventure
Ransom,136492681,Action
101 Dalmatians,136189294,Comedy
Chicken Little,135386665,Adventure
The Rock,134069511,Action
Bringing Down the House,132675402,Comedy
"Honey, I Shrunk the Kids",130724172,Adventure
Into the Woods,128002372,Musical
Enchanted,127706877,Romantic Comedy
Sweet Home Alabama,127214072,Comedy
Good Morning Vietnam,123922370,Comedy
The Good Dinosaur,123087120,Adventure
Mulan,120620254,Adventure
G-Force,119436770,Adventure
Remember the Titans,115654751,Drama
The Village,114197520,Thriller/Suspense
Bolt,114053759,Comedy
The Pacifier,113006880,Comedy
Enemy of the State,111549836,Action
The Little Mermaid,111543479,Adventure
Freaky Friday,110222438,Comedy
Bedtime Stories,110101975,Comedy
The Princess Diaries,108244774,Comedy
George Of The Jungle,105263257,Comedy
Phenomenon,104636382,Drama
The Princess and the Frog,104400899,Adventure
Dick Tracy,103738726,Action
Gone in 60 Seconds,101643008,Action
Con Air,101117573,Action
The Hunchback of Notre Dame,100138851,Adventure
Gnomeo and Juliet,99967670,Comedy
Hercules,99112101,Adventure
Meet the Robinsons,97822171,Adventure
Inspector Gadget,97387965,Comedy
Dead Poets Society,95860116,Drama
The Princess Diaries 2: Royal Engagement,95149435,Romantic Comedy
Unbreakable,94999143,Thriller/Suspense
Beverly Hills Chihuahua,94514402,Comedy
Lady and the Tramp,93600000,Drama
Tomorrowland,93436322,Adventure
Flubber,92993801,Comedy
Crimson Tide,91387195,Action
Prince of Persia: Sands of Time,90759676,Action
The Game Plan,90648202,Comedy
High School Musical 3: Senior Year,90559416,Musical
Disney Planes,90282580,Comedy
Flightplan,89706988,Thriller/Suspense
Father of the Bride,89325780,Comedy
The Lone Ranger,89302115,Western
The Emperor's New Groove,89296573,Adventure
The Muppets,88625922,Comedy
The Hand That Rocks the Cradle,88036683,Thriller/Suspense
Real Steel,85463309,Action
Brother Bear,85336277,Adventure
Cinderella,85000000,Drama
Dangerous Minds,84919401,Drama
The Santa Clause 3: The Escape Clause,84500122,Comedy
Pinocchio,84300000,Adventure
Atlantis: The Lost Empire,84052762,Adventure
Fantasia,83320000,Musical
Saving Mr. Banks,83299761,Drama
Mr. Holland's Opus,82582604,Drama
Bridge to Terabithia,82234139,Drama
Eight Below,81612565,Adventure
Snow Dogs,81150692,Comedy
While You Were Sleeping,81057016,Romantic Comedy
War Horse,79883359,Drama
Hannah Montana the Movie,79576189,Drama
Cocktail,78222753,Drama
Alice Through the Looking Glass,77042381,Adventure
Father of the Bride Part II,76578911,Comedy
Pete’s Dragon,76233151,Adventure
The Haunted Mansion,75817994,Comedy
The Rookie,75600072,Drama
The Horse Whisperer,75383563,Drama
Ladder 49,74541707,Action
"Six Days, Seven Nights",74339294,Romantic Comedy
John Carter,73058679,Adventure
Bridge of Spies,72313754,Thriller/Suspense
Ruthless People,71624879,Comedy
3 Men and a Little Lady,71609321,Comedy
Turner & Hooch,71079915,Comedy
The Kid,69688384,Comedy
Cool Runnings,68856263,Comedy
Holes,67383924,Drama
Hidalgo,67286731,Western
Race to Witch Mountain,67172594,Adventure
"Alexander and the Terrible, Horrible,…",66954149,Comedy
102 Dalmatians,66941559,Comedy
The Parent Trap,66308518,Comedy
Herbie: Fully Loaded,66010682,Comedy
Stakeout,65673233,Comedy
Deuce Bigalow: Male Gigolo,65535067,Comedy
Step Up,65328121,Drama
Hannah Montana/Miley Cyrus: Best of B…,65281781,Concert/Performance
Song of the South,65000000,Adventure
Miracle,64378093,Drama
Déjà Vu,64038616,Thriller/Suspense
Sky High,63939454,Adventure
What About Bob?,63710000,Comedy
The Sorcerer's Apprentice,63150991,Adventure
The Last Song,62950384,Drama
Splash,62599495,Comedy
Down and Out in Beverly Hills,62134225,Comedy
The Shaggy Dog,61123569,Comedy
Mission to Mars,60874615,Adventure
Coyote Ugly,60786269,Drama
Fantasia 2000 (IMAX),60507228,Musical
Shanghai Knights,60470220,Adventure
Jungle 2 Jungle,59925026,Comedy
Secretariat,59699513,Drama
Planes: Fire and Rescue,59157732,Adventure
Honey I Blew Up the Kid,58662452,Comedy
Jack,58617334,Drama
Open Range,58331254,Western
Bicentennial Man,58220776,Drama
Step Up 2 the Streets,58017783,Drama
Invincible,57806952,Drama
Sister Act 2 Back in the Habit,57319029,Comedy
Beaches,57041866,Drama
Shanghai Noon,56932305,Western
A Civil Action,56709981,Drama
Tombstone,56505065,Western
The Aristocats,55675257,Musical
The BFG,55483770,Adventure
I am Number Four,55100437,Adventure
The Guardian,55011732,Action
The Hundred-Foot Journey,54235441,Romantic Comedy
The Count of Monte Cristo,54228104,Drama
The Three Musketeers,53661805,Adventure
Arachnophobia,53208180,Thriller/Suspense
The Prestige,53089891,Thriller/Suspense
Outrageous Fortune,52864741,Comedy
The Recruit,52784696,Thriller/Suspense
The Royal Tenenbaums,52353636,Black Comedy
The Color of Money,52293000,Drama
King Arthur,51877963,Adventure
The Odd Life of Timothy Green,51853450,Drama
Muppets Most Wanted,51178893,Comedy
Up Close & Personal,51045801,Drama
The Hitchhiker's Guide to the Galaxy,51019112,Comedy
Apocalypto,50866635,Adventure
The Mighty Ducks,50752337,Comedy
Mighty Joe Young,50632037,Adventure
The Nightmare Before Christmas,50408318,Musical
Angels in the Outfield,50236831,Comedy
Evita,50047179,Musical
Home on the Range,50026353,Comedy
When a Man Loves a Woman,50021959,Drama
Oliver & Company,49576671,Adventure
Old Dogs,49492060,Comedy
The Rescuers,48775599,Adventure
Peter Pan: Return to Neverland,48430258,Adventure
G.I. Jane,48169156,Drama
The Preacher's Wife,48102795,Drama
The Jungle Book 2,47901582,Adventure
Dan in Real Life,47642963,Romantic Comedy
The Rocketeer,46573027,Action
The Distinguished Gentleman,46434570,Comedy
College Road Trip,45610425,Comedy
D2: The Mighty Ducks,45604206,Comedy
The Tigger Movie,45542421,Adventure
"O Brother, Where Art Thou?",45506619,Comedy
