_movie_title_,total_gross,genre
Star Wars Ep. VII: The Force Awakens,936662225,Adventure
The Avengers,623279547,Action
Rogue One: A Star Wars Story,529483936,Adventure
Finding Dory,486295561,Adventure
Avengers: Age of Ultron,459005868,Action
Pirates of the Caribbean: Dead Man’…,423315812,Adventure
The Lion King,422780140,Adventure
Toy Story 3,415004880,Adventure
Iron Man 3,408992272,Action
Captain America: Civil War,408084349,Action
Frozen,400738009,Adventure
Finding Nemo,380529370,Adventure
The Jungle Book,364001123,Adventure
Inside Out,356461711,Adventure
Zootopia,341268248,Adventure
Alice in Wonderland,334191110,Adventure
Guardians of the Galaxy,333172112,Adventure
Pirates of the Caribbean: At World’…,309420425,Adventure
Pirates of the Caribbean: The Curse o…,305411224,Adventure
The Sixth Sense,293506292,Thriller/Suspense
Up,293004164,Adventure
"The Chronicles of Narnia: The Lion, t…",291710957,Adventure
"Monsters, Inc.",289423425,Adventure
Monsters University,268488329,Adventure
The Incredibles,261441092,Adventure
Captain America: The Winter Soldier,259746958,Action
Moana,246082029,Adventure
Toy Story 2,245852179,Adventure
Cars,244082982,Comedy
Maleficent,241407328,Adventure
Pirates of the Caribbean: On Stranger…,241063875,Adventure
Brave,237282182,Adventure
Oz the Great and Powerful,234770996,Adventure
Doctor Strange,232532923,Adventure
